x_o,y_o,x_h,y_h,yaw_h,success
0.8061244929268172,0.040228569844613454,0.5,0.1,0.0,1.0
0.853759788023596,0.16915894842562665,0.5,0.1,0.0,0.0
0.8906704485182666,0.14548166487572486,0.5,0.1,0.0,1.0
0.810205865143274,0.1915724495865931,0.5,0.1,0.0,0.0
0.8429228905324005,0.00567616859150093,0.5,0.1,0.0,1.0
0.8129383003655335,0.13174978375409266,0.5,0.1,0.0,1.0
0.8611041117189477,0.07204815158529779,0.5,0.1,0.0,1.0
0.8622788500487886,0.0016919397099464774,0.5,0.1,0.0,1.0
0.808780920784726,0.03740827190944112,0.5,0.1,0.0,1.0
0.8758818504000273,0.1681126522479148,0.5,0.1,0.0,0.0
0.8534530000942797,0.09783869009507916,0.5,0.1,0.0,1.0
0.8159445775823332,0.07297337235041372,0.5,0.1,0.0,1.0
0.8902920716352826,0.04243089781526319,0.5,0.1,0.0,1.0
0.8130835588652161,0.15249759257901832,0.5,0.1,0.0,1.0
0.8812229972271666,0.0754315491719523,0.5,0.1,0.0,1.0
0.8867195333955087,0.19520228751213234,0.5,0.1,0.0,0.0
0.8039493649281649,0.06508324267308296,0.5,0.1,0.0,1.0
0.8064404475888259,0.09143931326000923,0.5,0.1,0.0,1.0
0.8541920313400813,0.03339975443225991,0.5,0.1,0.0,0.0
0.8455646563922431,0.012915200885571588,0.5,0.1,0.0,1.0
0.8784465901283358,0.15519920615064553,0.5,0.1,0.0,1.0
0.8298433884606894,0.12751328402769335,0.5,0.1,0.0,1.0
0.8484384828246033,0.07846327621192435,0.5,0.1,0.0,1.0
0.8168620601849151,0.174720737256133,0.5,0.1,0.0,1.0
0.8073158349531028,0.05375345222360457,0.5,0.1,0.0,1.0
0.8432077580642824,0.019384770062232805,0.5,0.1,0.0,1.0
0.8239493455751287,0.18587407510556864,0.5,0.1,0.0,1.0
0.8522788604104675,0.08660693251258245,0.5,0.1,0.0,1.0
0.8417644387734786,0.04757966235967455,0.5,0.1,0.0,1.0
0.8620975696493085,0.12909406284591962,0.5,0.1,0.0,1.0
0.809478187442876,0.12483132899740004,0.5,0.1,0.0,1.0
0.8818821369584184,0.017124486025568375,0.5,0.1,0.0,1.0
0.8848897604761948,0.009773941207027481,0.5,0.1,0.0,1.0
0.8491682143717592,0.0834687138122897,0.5,0.1,0.0,1.0
0.821686573532516,0.053358876934737426,0.5,0.1,0.0,1.0
0.8781914350765309,0.10139705436528926,0.5,0.1,0.0,1.0
0.8304787995597901,0.16606180202273213,0.5,0.1,0.0,1.0
0.8935941512599318,0.08814094558759883,0.5,0.1,0.0,1.0
0.8554515767699885,0.07820110208181907,0.5,0.1,0.0,1.0
0.8908904759625231,0.16062899247433823,0.5,0.1,0.0,0.0
0.877779653317578,0.08912242828139522,0.5,0.1,0.0,1.0
0.8361404335385398,0.0005693781067747317,0.5,0.1,0.0,1.0
0.8559726306820369,0.008482022054730809,0.5,0.1,0.0,1.0
0.8472620074062025,0.056560164219347314,0.5,0.1,0.0,1.0
0.8835377411991111,0.043342213385154364,0.5,0.1,0.0,1.0
0.8700633550933852,0.1210898154494642,0.5,0.1,0.0,1.0
0.8816033293149412,0.05072386878034496,0.5,0.1,0.0,1.0
0.8065975445856203,0.09231493777269505,0.5,0.1,0.0,1.0
0.8913190804501818,0.09633090771515784,0.5,0.1,0.0,1.0
0.8530767013379608,0.12578630245129505,0.5,0.1,0.0,1.0
0.8916713877118115,0.042581542688531496,0.5,0.1,0.0,1.0
0.8660274405635957,0.07936270316743971,0.5,0.1,0.0,1.0
0.8447276662342296,0.011641060994639331,0.5,0.1,0.0,1.0
0.8619682191891207,0.021211320616092367,0.5,0.1,0.0,1.0
0.8823180313243958,0.10335885906258682,0.5,0.1,0.0,1.0
0.8997508449335775,0.010671412020684092,0.5,0.1,0.0,1.0
0.8331765330972125,0.1317874598691228,0.5,0.1,0.0,1.0
0.8127859761499577,0.05283763798659267,0.5,0.1,0.0,1.0
0.8004816193143294,0.11384716171066983,0.5,0.1,0.0,1.0
0.8679951353866421,0.15510764340398525,0.5,0.1,0.0,1.0
0.8344729618985968,0.04384362657768679,0.5,0.1,0.0,1.0
0.8434228728568107,0.006983924611388481,0.5,0.1,0.0,1.0
0.8379050449946562,0.19004072459041793,0.5,0.1,0.0,1.0
0.8077064991585243,0.007862509308112697,0.5,0.1,0.0,1.0
0.8477993538827094,0.1535852301294923,0.5,0.1,0.0,0.0
0.8240627055003364,0.05655913651844833,0.5,0.1,0.0,1.0
0.8890736899891877,0.10431696047734276,0.5,0.1,0.0,1.0
0.8990270100142406,0.05035593110019439,0.5,0.1,0.0,1.0
0.8317191156452489,0.06910087185095647,0.5,0.1,0.0,1.0
0.8695899812066048,0.06983438362636803,0.5,0.1,0.0,1.0
0.8911465408513235,0.11893924291866119,0.5,0.1,0.0,1.0
0.8435021810446128,0.07499586490507969,0.5,0.1,0.0,1.0
0.8340176340401179,0.07458294585586088,0.5,0.1,0.0,1.0
0.8498178960344103,0.039728187552575456,0.5,0.1,0.0,1.0
0.8538953809494911,0.10568520018666938,0.5,0.1,0.0,1.0
