,Episode,Episodic_Return,Episodic_Length,Wall_Time
1,1.0,-0.13830322089210534,20.0,33.122488260269165
2,2.0,0.18177565776814758,20.0,64.90068459510803
3,3.0,0.06405290766189287,20.0,95.96263909339905
4,4.0,0.04803968074641965,20.0,127.32479667663574
5,5.0,0.1997163176393305,20.0,155.76355838775635
6,6.0,0.16643026469944208,20.0,187.64246082305908
7,7.0,0.1426545125995218,20.0,207.80242204666138
8,8.0,0.12482269852458157,20.0,216.59252214431763
9,9.0,0.11095350979962806,20.0,218.89403367042542
10,10.0,0.09985815881966525,20.0,224.30091404914856
11,11.0,0.1136884809088758,20.0,237.54928302764893
12,12.0,0.06350302726603574,20.0,249.50667881965637
13,13.0,0.0806422865210974,20.0,258.7949306964874
14,14.0,0.0806422865210974,20.0,261.7005696296692
15,15.0,0.0,20.0,263.9969730377197
16,16.0,0.0,20.0,275.99630093574524
17,17.0,0.0,20.0,298.3281018733978
18,18.0,0.0,20.0,320.90064573287964
19,19.0,0.0,20.0,329.99231219291687
20,20.0,0.0,20.0,342.89429664611816
21,21.0,0.12465073291678123,20.0,354.41610765457153
22,22.0,0.12465073291678123,20.0,364.5989360809326
23,23.0,0.12465073291678123,20.0,380.19962453842163
24,24.0,0.12465073291678123,20.0,409.0170044898987
25,25.0,-0.017023644363755096,20.0,431.2960557937622
26,26.0,-0.017023644363755096,20.0,443.3024778366089
27,27.0,-0.017023644363755096,20.0,446.79654717445374
28,28.0,-0.017023644363755096,20.0,453.59698247909546
29,29.0,-0.017023644363755096,20.0,481.26041650772095
30,30.0,-0.03743877280906051,20.0,493.79843401908875
31,31.0,-0.1746944936249219,20.0,497.51768255233765
32,32.0,-0.217509326407839,20.0,515.1408996582031
33,33.0,-0.217509326407839,20.0,518.0953669548035
34,34.0,-0.217509326407839,20.0,526.5021522045135
35,35.0,-0.07583494912730265,20.0,533.8123462200165
36,36.0,-0.07583494912730265,20.0,537.9091370105743
37,37.0,-0.07583494912730265,20.0,548.4022665023804
38,38.0,-0.07583494912730265,20.0,551.9005844593048
39,39.0,-0.07583494912730265,20.0,554.2010560035706
40,40.0,-0.055419820681997245,20.0,558.2011225223541
41,41.0,-0.04281483278291709,20.0,566.3088881969452
42,42.0,0.09624748610200984,20.0,576.0965068340302
43,43.0,0.09624748610200984,20.0,585.3033838272095
44,44.0,0.10731536525364138,20.0,592.3866140842438
45,45.0,0.10731536525364138,20.0,596.698531627655
46,46.0,0.10731536525364138,20.0,607.1136810779572
47,47.0,0.10731536525364138,20.0,611.1984491348267
48,48.0,0.10731536525364138,20.0,634.7976996898651
49,49.0,0.10731536525364138,20.0,640.4129478931427
50,50.0,-0.1689228353764356,20.0,653.1982207298279
51,51.0,-0.1689228353764356,20.0,674.9040729999542
52,52.0,-0.26517032147844544,20.0,679.4037141799927
53,53.0,-0.26517032147844544,20.0,692.6036095619202
54,54.0,-0.6120232666620199,20.0,713.9051117897034
55,55.0,-0.6120232666620199,20.0,722.0321636199951
56,56.0,-0.4688317388964688,20.0,736.6043660640717
57,57.0,-0.4688317388964688,20.0,748.2963173389435
58,58.0,-0.4688317388964688,20.0,763.8171858787537
59,59.0,-0.4688317388964688,20.0,775.1030497550964
60,60.0,-0.19259353826639186,20.0,811.7202172279358
61,61.0,-0.40015199023233433,20.0,825.3974010944366
62,62.0,-0.40015199023233433,20.0,828.7041704654694
63,63.0,-0.40015199023233433,20.0,840.1065084934235
64,64.0,-0.06436692420039143,20.0,851.5902378559113
65,65.0,-0.19879063570746364,20.0,869.9172208309174
66,66.0,-0.34198216347301474,20.0,881.1065127849579
67,67.0,-0.34198216347301474,20.0,893.4437613487244
68,68.0,-0.34198216347301474,20.0,895.6989011764526
69,69.0,-0.34198216347301474,20.0,898.0009081363678
70,70.0,-0.34198216347301474,20.0,921.1018619537354
71,71.0,-0.13442371150707222,20.0,930.5071070194244
72,72.0,-0.13442371150707222,20.0,938.3040733337402
73,73.0,-0.13442371150707222,20.0,942.6120014190674
74,74.0,-0.13442371150707222,20.0,945.1041052341461
75,75.0,0.0,20.0,975.331686258316
76,76.0,0.0,20.0,982.3171401023865
77,77.0,0.0,20.0,994.1674044132233
78,78.0,0.0,20.0,996.4022133350372
79,79.0,0.0,20.0,1019.6005141735077
80,80.0,0.0,20.0,1037.0050356388092
81,81.0,0.0,20.0,1051.497803926468
82,82.0,0.0,20.0,1060.1024885177612
83,83.0,0.0,20.0,1062.5046441555023
84,84.0,0.0,20.0,1086.4021096229553
85,85.0,0.0,20.0,1093.8044397830963
86,86.0,0.0,20.0,1106.7059319019318
87,87.0,0.0,20.0,1122.870804309845
88,88.0,0.0,20.0,1129.618352174759
89,89.0,0.0,20.0,1140.804488658905
90,90.0,0.0,20.0,1150.410126209259
91,91.0,0.0,20.0,1166.7713220119476
92,92.0,-0.0933012997973992,20.0,1177.4091658592224
93,93.0,-0.0933012997973992,20.0,1182.7117557525635
94,94.0,-0.0933012997973992,20.0,1187.310357093811
95,95.0,-0.0933012997973992,20.0,1189.8074572086334
96,96.0,-0.0933012997973992,20.0,1194.1211671829224
97,97.0,-0.0933012997973992,20.0,1198.5151600837708
98,98.0,-0.0933012997973992,20.0,1206.8050286769867
99,99.0,-0.0933012997973992,20.0,1243.4795384407043
100,100.0,-0.0933012997973992,20.0,1246.1161506175995
101,101.0,0.0775518802150843,20.0,1286.7069766521454
102,102.0,-0.0776424550523398,20.0,1328.1437923908234
103,103.0,-0.0776424550523398,20.0,1333.4184701442719
104,104.0,-0.0776424550523398,20.0,1354.0658028125763
105,105.0,-0.0776424550523398,20.0,1365.512618780136
106,106.0,-0.0776424550523398,20.0,1375.7016026973724
107,107.0,-0.0776424550523398,20.0,1384.0128314495087
108,108.0,-0.0776424550523398,20.0,1399.5116698741913
109,109.0,-0.19727079927073865,20.0,1427.5937767028809
110,110.0,-0.19727079927073865,20.0,1446.2110052108765
111,111.0,0.048989883037396265,20.0,1461.0111923217773
112,112.0,0.2974855181022196,20.0,1484.9809606075287
113,113.0,0.2974855181022196,20.0,1504.8461067676544
114,114.0,0.2974855181022196,20.0,1515.4259793758392
115,115.0,0.2974855181022196,20.0,1525.2073254585266
116,116.0,0.2974855181022196,20.0,1536.7371525764465
117,117.0,0.2974855181022196,20.0,1546.6107296943665
118,118.0,0.2974855181022196,20.0,1562.9165279865265
119,119.0,0.4171138623206184,20.0,1567.0147330760956
120,120.0,0.4171138623206184,20.0,1604.967538356781
121,121.0,-0.014201103271020421,20.0,1640.6782252788544
122,122.0,-0.014201103271020421,20.0,1655.8138291835785
123,123.0,-0.07833266040147213,20.0,1689.1925842761993
124,124.0,-0.07833266040147213,20.0,1707.0135006904602
125,125.0,0.3556491263189424,20.0,1725.4136276245117
126,126.0,0.3556491263189424,20.0,1768.5537660121918
127,127.0,0.4235424427171449,20.0,1814.0987536907196
128,128.0,0.4235424427171449,20.0,1841.5030298233032
129,129.0,0.4235424427171449,20.0,1862.9778468608856
130,130.0,0.4377276163506393,20.0,1876.4137408733368
131,131.0,0.4519287196216597,20.0,1911.815981388092
132,132.0,0.16465927351775905,20.0,1934.611530303955
133,133.0,0.19347316855188107,20.0,1978.0762417316437
134,134.0,0.19347316855188107,20.0,2011.3166031837463
135,135.0,-0.2405086181685335,20.0,2048.44709277153
136,136.0,-0.2405086181685335,20.0,2051.1132307052612
137,137.0,-0.49868854154798303,20.0,2089.7153582572937
138,138.0,-0.49868854154798303,20.0,2097.1189436912537
139,139.0,-0.49868854154798303,20.0,2139.069916009903
140,140.0,-0.9167443777233153,20.0,2176.7555038928986
141,141.0,-0.9167443777233153,20.0,2179.0101499557495
