length_up,length_low,length_center,return_up,return_low,return_center
0,0,0.0,0.6451612903225806,0.6451612903225806,0.6451612903225806
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,20,20.0,0.0967741935483871,0.0,0.04838709677419355
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
3,1,2.0,1.0,0.9354838709677419,0.967741935483871
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,3,11.5,0.967741935483871,0.0,0.4838709677419355
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,17,18.5,0.5806451612903226,0.0,0.2903225806451613
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,1,10.5,1.0,0.0,0.5
20,1,10.5,1.0,0.0,0.5
3,1,2.0,1.0,0.9354838709677419,0.967741935483871
20,20,20.0,0.0,0.0,0.0
20,20,20.0,0.0967741935483871,0.0,0.04838709677419355
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,3,11.5,0.9354838709677419,0.03225806451612903,0.48387096774193544
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,20,20.0,0.0967741935483871,0.0,0.04838709677419355
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
16,8,12.0,0.8709677419354839,0.6451612903225806,0.7580645161290323
20,4,12.0,0.9032258064516129,0.0,0.45161290322580644
20,3,11.5,0.967741935483871,0.06451612903225806,0.5161290322580645
20,3,11.5,0.967741935483871,0.0,0.4838709677419355
20,5,12.5,0.9354838709677419,0.03225806451612903,0.48387096774193544
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,3,11.5,0.967741935483871,0.03225806451612903,0.5
20,20,20.0,0.06451612903225806,0.0,0.03225806451612903
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,20,20.0,0.06451612903225806,0.03225806451612903,0.04838709677419355
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,4,12.0,0.9032258064516129,0.03225806451612903,0.46774193548387094
5,1,3.0,1.0,0.9354838709677419,0.967741935483871
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,4,12.0,0.9032258064516129,0.0,0.45161290322580644
20,3,11.5,0.9354838709677419,0.03225806451612903,0.48387096774193544
20,20,20.0,0.06451612903225806,0.0,0.03225806451612903
20,3,11.5,0.967741935483871,0.0,0.4838709677419355
20,20,20.0,0.06451612903225806,0.0,0.03225806451612903
20,4,12.0,0.9032258064516129,0.0967741935483871,0.5
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,20,20.0,0.0,0.0,0.0
20,20,20.0,0.0967741935483871,0.06451612903225806,0.08064516129032258
20,1,10.5,1.0,0.0,0.5
20,3,11.5,0.967741935483871,0.06451612903225806,0.5161290322580645
20,20,20.0,0.0967741935483871,0.03225806451612903,0.06451612903225806
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,1,10.5,1.0,0.0,0.5
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
3,3,3.0,0.967741935483871,0.9354838709677419,0.9516129032258065
20,3,11.5,0.9354838709677419,0.0,0.46774193548387094
20,20,20.0,0.12903225806451613,0.0,0.06451612903225806
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
20,5,12.5,0.9354838709677419,0.0,0.46774193548387094
20,6,13.0,0.9354838709677419,0.0,0.46774193548387094
20,20,20.0,0.0,0.0,0.0
19,3,11.0,0.9354838709677419,0.45161290322580644,0.6935483870967741
20,2,11.0,0.967741935483871,0.0,0.4838709677419355
20,3,11.5,0.967741935483871,0.0,0.4838709677419355
20,3,11.5,0.9354838709677419,0.12903225806451613,0.532258064516129
20,1,10.5,1.0,0.03225806451612903,0.5161290322580645
20,20,20.0,0.03225806451612903,0.03225806451612903,0.03225806451612903
20,3,11.5,0.967741935483871,0.0,0.4838709677419355
20,3,11.5,0.967741935483871,0.0,0.4838709677419355
20,20,20.0,0.03225806451612903,0.0,0.016129032258064516
