episode_return,episode_length,total_steps
0,0,0
-20,20,20
1.8530210241173926,5.0,25.0
-12,7,32
6.323176477054299,2.0,34.0
2.704118241302968,4.0,38.0
3.807329990222062,3.0,41.0
-17,12,53
-18,13,66
0.9769723587716781,6.0,72.0
6.5300767084598705,1.0,73.0
-0.5209662563906221,6.0,79.0
2.5016097719267627,5.0,84.0
6.673918592755262,1.0,85.0
-3.056798133738946,9.0,94.0
-6.637930113725489,12.0,106.0
-20,20,126
-19,14,140
-1.9288570244262804,6.0,146.0
6.700580355486252,1.0,147.0
-24,19,166
4.311902281684884,4.0,170.0
0.3860606403900455,7.0,177.0
-7.58161392364644,12.0,189.0
-20,20,209
-24,19,228
-9.087842819356506,15.0,243.0
-23,18,261
6.407647963099035,1.0,262.0
-20,20,282
0.10644360078040283,5.0,287.0
-8,3,290
-7,2,292
-20,20,312
5.461637336855556,2.0,314.0
-15.343617740066795,20.0,334.0
-2.8270909238423174,9.0,343.0
-3.4227651937330092,8.0,351.0
-5.3777548782375755,12.0,363.0
-7,2,365
-9,4,369
-10.254190291981972,16.0,385.0
-17,12,397
-0.8399731306761469,5.0,402.0
-9,4,406
-20,20,426
1.7219886718945236,4.0,430.0
-2.982886961957373,9.0,439.0
4.591170969716567,3.0,442.0
-19,14,456
-8.594257867327295,12.0,468.0
-12,7,475
6.440007061167058,1.0,476.0
-5.340207229499708,12.0,488.0
-18,13,501
-11,6,507
-8,3,510
2.677860082758542,4.0,514.0
-20,20,534
-2.7754335154604686,8.0,542.0
-9.229673322046931,16.0,558.0
1.1909271281663267,5.0,563.0
-3.80021684503353,7.0,570.0
-11.650574885959431,19.0,589.0
-12.965360038032614,18.0,607.0
-12,7,614
-0.02238578549531134,4.0,618.0
-6.438627314981904,11.0,629.0
5.783283375061737,2.0,631.0
-7,2,633
-7.6236627168270985,16.0,649.0
-15,10,659
-16,11,670
2.79261529871064,5.0,675.0
6.718284412621038,1.0,676.0
-10,5,681
-14.869199358747261,20.0,701.0
1.4654539702505138,4.0,705.0
-10,5,710
-9,4,714
0.5916905754020254,5.0,719.0
-7,2,721
-0.252590579985573,6.0,727.0
6.132154854970277,1.0,728.0
-1.8537335717559387,6.0,734.0
-20,15,749
5.993743457391988,1.0,750.0
4.0151427558778785,4.0,754.0
6.6460031195965,1.0,755.0
-16,11,766
-20,20,786
5.007007197135857,2.0,788.0
-7,2,790
6.351925644769002,1.0,791.0
-6.543556884137686,13.0,804.0
6.8734320191009495,1.0,805.0
3.418548279561671,3.0,808.0
4.630019894068114,2.0,810.0
-7,2,812
5.782224678730421,2.0,814.0
-1.871894312934269,7.0,821.0
4.67736385390066,2.0,823.0
5.530133975328589,2.0,825.0
4.883662106482213,2.0,827.0
-11,6,833
3.770093664273343,3.0,836.0
2.5109295218245915,3.0,839.0
-6,1,840
3.9108500409479054,2.0,842.0
4.569730245368472,2.0,844.0
4.408098776057208,2.0,846.0
1.8787791709883912,4.0,850.0
4.990779602914139,3.0,853.0
-8,3,856
1.1998115905568163,5.0,861.0
6.36707681809933,1.0,862.0
4.918486728730539,2.0,864.0
6.862164046304704,1.0,865.0
-8,3,868
6.0296411446793154,1.0,869.0
-10,5,874
6.036301718066895,1.0,875.0
6.712749644543345,1.0,876.0
-2.6674350643241738,8.0,884.0
2.6780911970625176,3.0,887.0
-6,1,888
6.064754241220581,1.0,889.0
6.434967225266403,1.0,890.0
4.829301842861516,2.0,892.0
1.9967328130860684,4.0,896.0
6.197617555799401,1.0,897.0
4.895347328186547,2.0,899.0
3.1121140578140114,3.0,902.0
-8,3,905
6.759575498824214,1.0,906.0
1.962027134836828,4.0,910.0
-9,4,914
6.279203913851343,1.0,915.0
2.77273333349728,3.0,918.0
-6,1,919
-10,5,924
5.419851301755678,1.0,925.0
-8,3,928
-7,2,930
3.122773718369352,2.0,932.0
3.689381023523418,2.0,934.0
-7,2,936
-12,7,943
-8,3,946
4.158340634407576,2.0,948.0
-7,2,950
-7,2,952
-7,2,954
-8,3,957
-7,2,959
3.354757817174388,2.0,961.0
3.6400472681928306,3.0,964.0
-7,2,966
6.4640638170795075,1.0,967.0
5.351066233142044,2.0,969.0
3.7808450693688567,2.0,971.0
-8,3,974
2.8406015798924766,4.0,978.0
6.025749223117057,1.0,979.0
5.993894816197751,1.0,980.0
6.848522510842951,2.0,982.0
-7,2,984
-9,4,988
6.282855163120606,1.0,989.0
5.926692375488631,1.0,990.0
-7,2,992
5.924653133317475,1.0,993.0
-8,3,996
-8,3,999
0.929290924921041,3.0,1002.0
-7,2,1004
2.098480481937111,3.0,1007.0
-8,3,1010
4.716313055453437,3.0,1013.0
-7,2,1015
2.9851244438137607,2.0,1017.0
6.291947672268859,1.0,1018.0
-7,2,1020
-0.5798218813703473,5.0,1025.0
4.260722363559373,2.0,1027.0
-7,2,1029
2.3950232755148404,4.0,1033.0
3.6112780204017847,2.0,1035.0
-7,2,1037
-7,2,1039
5.708308850630065,1.0,1040.0
3.497525674418341,2.0,1042.0
0.6532767913836617,5.0,1047.0
-11,6,1053
-7,2,1055
3.440025807392174,2.0,1057.0
-7,2,1059
3.5967323643688696,2.0,1061.0
5.190772393469022,1.0,1062.0
6.334102887072596,2.0,1064.0
-11,6,1070
4.312188035715704,2.0,1072.0
5.445300457105161,1.0,1073.0
5.960957006223282,1.0,1074.0
3.8419249296416584,2.0,1076.0
5.890403914339348,1.0,1077.0
-8,3,1080
5.765282142427228,1.0,1081.0
-7,2,1083
5.734035968395151,1.0,1084.0
3.2769282035626945,2.0,1086.0
1.8371545649959842,4.0,1090.0
0.42349938826080447,6.0,1096.0
-8,3,1099
3.145993704021624,3.0,1102.0
4.09352611595187,2.0,1104.0
-7,2,1106
6.991034428064223,1.0,1107.0
3.979042621160888,2.0,1109.0
-7,2,1111
-9,4,1115
3.3495908420262364,2.0,1117.0
6.426817834185051,1.0,1118.0
5.984928212701161,1.0,1119.0
5.018363039360615,2.0,1121.0
-7,2,1123
-7,2,1125
6.7575427364298175,1.0,1126.0
6.184769834134675,1.0,1127.0
5.491891734620097,1.0,1128.0
3.8199671530990678,2.0,1130.0
2.8550109868940057,3.0,1133.0
6.361976830852453,1.0,1134.0
-7,2,1136
-7,2,1138
-11,6,1144
-7,2,1146
-6,1,1147
-7,2,1149
2.9513858967001827,2.0,1151.0
-7,2,1153
-8,3,1156
-7,2,1158
2.6451601854211244,2.0,1160.0
5.636762313400771,1.0,1161.0
-0.4625742334675369,5.0,1166.0
6.28183633113166,1.0,1167.0
-1.4747714132798384,5.0,1172.0
2.719423600446185,3.0,1175.0
-7,2,1177
2.9873645296687927,2.0,1179.0
4.6491461159291365,2.0,1181.0
3.728040677500573,2.0,1183.0
3.572269514238437,2.0,1185.0
-7,2,1187
