length_up,length_low,length_center,return_up,return_low,return_center
6,1,2.6666666666666665,9,-1,4.0
10,1,5.0,9,0,5.0
2,1,1.3333333333333333,9,-2,2.0
11,1,4.333333333333333,9,-11,-1.0
7,1,3.6666666666666665,3,-3,-0.3333333333333333
6,1,2.6666666666666665,9,4,7.333333333333333
4,1,2.0,9,-4,4.666666666666667
14,1,9.0,-1,-4,-2.3333333333333335
20,1,8.666666666666666,9,-20,-2.0
5,2,3.6666666666666665,8,5,6.333333333333333
6,2,3.6666666666666665,8,-6,3.0
20,1,10.666666666666666,-1,-20,-10.666666666666666
7,1,3.0,9,3,7.0
9,2,6.333333333333333,2,-9,-3.0
3,3,3.0,7,7,7.0
10,1,6.333333333333333,9,-10,0.3333333333333333
8,1,3.6666666666666665,9,-8,3.0
15,2,8.333333333333334,2,-15,-5.0
5,2,4.0,5,-5,-0.6666666666666666
20,1,9.333333333333334,9,-20,-6.0
5,2,3.3333333333333335,8,5,6.666666666666667
5,1,3.0,5,-3,0.3333333333333333
16,1,8.666666666666666,9,-6,1.3333333333333333
3,2,2.3333333333333335,8,7,7.666666666666667
4,2,3.0,8,6,7.0
2,1,1.6666666666666667,9,8,8.333333333333334
8,1,3.3333333333333335,9,2,6.666666666666667
19,2,7.666666666666667,8,-9,2.3333333333333335
6,1,3.3333333333333335,9,-3,3.3333333333333335
20,2,10.0,8,-20,-3.3333333333333335
20,1,8.333333333333334,-1,-20,-8.333333333333334
15,1,6.0,9,-5,4.0
5,1,3.0,9,5,7.0
8,1,5.333333333333333,9,2,4.666666666666667
17,2,9.333333333333334,8,-7,0.6666666666666666
7,1,5.0,9,-7,1.6666666666666667
11,1,7.0,9,-1,3.0
14,2,6.333333333333333,8,-4,3.6666666666666665
4,1,2.3333333333333335,9,6,7.666666666666667
4,1,2.3333333333333335,9,6,7.666666666666667
11,1,4.333333333333333,9,-1,2.3333333333333335
6,2,3.6666666666666665,8,-6,3.0
11,1,5.333333333333333,9,-4,1.3333333333333333
15,2,8.666666666666666,8,-9,-2.0
5,3,4.0,7,-5,-0.6666666666666666
11,2,5.666666666666667,8,-1,4.333333333333333
6,2,3.3333333333333335,8,4,6.666666666666667
10,1,4.0,9,-10,2.6666666666666665
14,1,5.666666666666667,9,-4,4.333333333333333
20,2,9.333333333333334,-2,-20,-9.333333333333334
16,1,6.666666666666667,9,-6,3.3333333333333335
4,2,3.0,7,-2,3.6666666666666665
20,2,14.0,-2,-20,-14.0
13,2,6.666666666666667,8,-3,3.3333333333333335
9,1,4.333333333333333,7,-1,2.3333333333333335
10,1,4.333333333333333,9,0,5.666666666666667
4,1,2.3333333333333335,9,6,7.666666666666667
16,1,7.0,9,-16,-3.6666666666666665
15,4,8.0,6,-15,-4.666666666666667
4,1,2.3333333333333335,8,-1,4.333333333333333
9,1,4.0,9,1,6.0
20,4,11.666666666666666,6,-20,-5.0
11,1,5.0,9,-1,5.0
17,1,6.666666666666667,9,-7,3.3333333333333335
2,1,1.6666666666666667,-1,-2,-1.6666666666666667
4,1,2.3333333333333335,9,6,7.666666666666667
8,1,4.0,9,2,6.0
20,2,11.666666666666666,8,-20,-5.0
5,1,3.0,9,-5,3.6666666666666665
14,1,5.666666666666667,9,-4,4.333333333333333
10,1,4.333333333333333,8,-1,2.3333333333333335
9,1,5.0,9,-5,1.6666666666666667
7,1,3.6666666666666665,9,-7,3.0
20,1,9.666666666666666,2,-20,-6.333333333333333
2,1,1.3333333333333333,9,-1,5.333333333333333
20,1,7.666666666666667,9,-10,2.3333333333333335
11,1,4.333333333333333,9,-1,5.666666666666667
19,3,10.666666666666666,7,-19,-4.0
20,1,7.666666666666667,9,-20,-1.0
8,1,3.6666666666666665,9,2,6.333333333333333
2,1,1.6666666666666667,9,8,8.333333333333334
7,4,5.333333333333333,6,-7,1.3333333333333333
20,1,12.666666666666666,9,-20,-6.0
5,1,2.6666666666666665,9,5,7.333333333333333
11,2,5.666666666666667,8,-1,4.333333333333333
7,1,3.3333333333333335,9,3,6.666666666666667
3,2,2.3333333333333335,8,7,7.666666666666667
20,3,10.0,7,-20,-3.3333333333333335
10,1,4.333333333333333,9,0,5.666666666666667
10,1,4.666666666666667,9,-10,-1.3333333333333333
2,1,1.6666666666666667,8,-1,5.0
8,1,5.333333333333333,9,-7,1.3333333333333333
7,4,5.0,6,-7,1.6666666666666667
16,2,6.666666666666667,8,-6,3.3333333333333335
20,1,7.333333333333333,9,-20,-0.6666666666666666
6,2,3.3333333333333335,8,-6,3.3333333333333335
3,1,2.0,9,-3,4.666666666666667
4,1,2.0,6,-1,1.3333333333333333
20,1,7.333333333333333,9,-20,-0.6666666666666666
13,5,7.666666666666667,5,-3,2.3333333333333335
4,1,2.3333333333333335,9,6,7.666666666666667
10,1,5.333333333333333,9,0,4.666666666666667
18,3,8.333333333333334,7,-18,-1.6666666666666667
3,2,2.3333333333333335,8,7,7.666666666666667
14,1,5.666666666666667,9,-14,1.0
5,1,3.0,9,-5,3.6666666666666665
4,2,3.0,7,-2,3.6666666666666665
5,1,2.6666666666666665,9,5,7.333333333333333
12,1,6.666666666666667,3,-2,0.0
20,2,12.0,8,-20,-5.333333333333333
11,1,5.333333333333333,9,-1,4.666666666666667
11,2,7.666666666666667,8,-11,-4.333333333333333
1,1,1.0,9,9,9.0
10,2,6.0,8,-6,0.6666666666666666
3,2,2.3333333333333335,8,7,7.666666666666667
3,1,2.3333333333333335,9,7,7.666666666666667
8,1,3.3333333333333335,9,2,6.666666666666667
2,1,1.6666666666666667,9,8,8.333333333333334
17,1,9.0,1,-7,-2.3333333333333335
4,2,3.3333333333333335,6,-2,3.3333333333333335
20,1,7.666666666666667,9,-20,-1.0
12,1,5.333333333333333,9,-2,4.666666666666667
12,1,5.666666666666667,9,-2,4.333333333333333
10,2,6.666666666666667,2,-2,0.0
4,3,3.3333333333333335,7,6,6.666666666666667
4,2,3.0,8,6,7.0
7,5,5.666666666666667,5,3,4.333333333333333
6,1,4.0,5,-1,2.6666666666666665
20,1,8.333333333333334,9,-20,-1.6666666666666667
9,1,5.0,9,-9,1.6666666666666667
8,6,6.666666666666667,4,-8,0.0
18,4,8.666666666666666,6,-8,-2.0
3,1,2.0,9,7,8.0
5,2,3.6666666666666665,8,5,6.333333333333333
20,2,9.333333333333334,8,-20,-2.6666666666666665
8,1,4.333333333333333,9,-8,2.3333333333333335
11,2,6.333333333333333,8,-6,0.3333333333333333
20,2,9.666666666666666,8,-20,-3.0
2,1,1.3333333333333333,9,8,8.666666666666666
4,2,3.0,8,6,7.0
15,2,6.666666666666667,8,-5,3.3333333333333335
5,2,3.6666666666666665,8,5,6.333333333333333
13,1,6.333333333333333,-1,-13,-6.333333333333333
14,3,7.666666666666667,7,-6,-1.0
13,1,5.333333333333333,9,-3,4.666666666666667
4,1,2.3333333333333335,9,6,7.666666666666667
7,1,4.666666666666667,9,3,5.333333333333333
17,2,9.666666666666666,8,-7,0.3333333333333333
18,1,8.333333333333334,4,-8,-1.6666666666666667
12,1,6.333333333333333,4,-2,0.3333333333333333
7,1,3.0,9,-7,3.6666666666666665
9,5,7.333333333333333,5,-9,-0.6666666666666666
20,2,10.666666666666666,8,-20,-4.0
20,3,12.0,7,-10,-2.0
20,1,8.0,9,-10,2.0
15,2,10.666666666666666,-2,-5,-4.0
11,1,5.333333333333333,9,-1,4.666666666666667
17,1,7.666666666666667,9,-7,2.3333333333333335
9,2,5.0,8,-9,1.6666666666666667
20,9,15.333333333333334,1,-20,-12.0
4,2,3.0,8,6,7.0
20,6,14.0,4,-20,-7.333333333333333
20,1,7.666666666666667,9,-20,-1.0
15,1,5.666666666666667,9,-5,4.333333333333333
7,2,4.0,7,-2,2.6666666666666665
3,1,2.3333333333333335,9,-3,4.333333333333333
20,2,8.666666666666666,8,-20,-2.0
3,1,2.0,9,7,8.0
20,1,11.666666666666666,9,-20,-5.0
20,5,15.0,5,-20,-11.666666666666666
4,1,2.6666666666666665,9,-4,4.0
4,1,2.3333333333333335,8,-1,4.333333333333333
17,3,8.666666666666666,7,-7,1.3333333333333333
2,2,2.0,8,8,8.0
20,2,10.0,8,-20,-3.3333333333333335
2,2,2.0,8,8,8.0
14,2,6.333333333333333,8,-4,3.6666666666666665
12,1,6.0,9,-2,4.0
3,1,2.3333333333333335,7,-1,4.333333333333333
16,1,8.0,9,-6,2.0
6,2,3.6666666666666665,8,4,6.333333333333333
17,1,7.333333333333333,9,-7,2.6666666666666665
7,2,4.666666666666667,8,3,5.333333333333333
20,4,9.666666666666666,6,-20,-3.0
20,2,10.666666666666666,8,-20,-4.0
5,3,4.0,7,5,6.0
3,1,1.6666666666666667,9,7,8.333333333333334
7,2,3.6666666666666665,8,-7,3.0
4,1,3.0,9,-4,3.6666666666666665
4,1,2.0,9,6,8.0
7,1,3.3333333333333335,9,3,6.666666666666667
8,1,3.3333333333333335,9,2,6.666666666666667
13,1,6.333333333333333,9,-13,0.3333333333333333
9,1,4.0,9,1,6.0
13,1,8.333333333333334,9,-3,1.6666666666666667
7,5,5.666666666666667,5,3,4.333333333333333
7,4,5.0,6,3,5.0
9,2,5.0,8,1,5.0
20,2,8.333333333333334,8,-20,-1.6666666666666667
15,4,8.0,6,-15,-1.3333333333333333
