epochs,loss,accu
0,0.51601255,0.6223958333333334
1,0.50685024,0.7161458333333334
2,0.32671547,0.6953125
3,0.77409464,0.7161458333333334
4,0.6827551,0.7213541666666666
5,0.46782744,0.7526041666666666
6,0.24170905,0.7213541666666666
7,0.21252619,0.765625
8,1.0458374,0.7786458333333334
9,0.49387655,0.7604166666666666
10,0.5975096,0.7734375
11,0.4358835,0.8046875
12,0.5242137,0.8229166666666666
13,0.28725186,0.7994791666666666
14,0.5142062,0.8515625
15,0.853771,0.8619791666666666
16,0.36962277,0.8489583333333334
17,0.31199443,0.8541666666666666
18,0.29703373,0.859375
19,0.24723415,0.8802083333333334
20,0.24001083,0.9114583333333334
21,0.19562192,0.8880208333333334
22,0.1719182,0.90625
23,0.44238982,0.9010416666666666
24,0.2798353,0.9166666666666666
25,0.12031851,0.9479166666666666
26,0.10570209,0.9427083333333334
27,0.4232486,0.9375
28,0.42452404,0.9348958333333334
29,0.2435767,0.9609375
30,0.08770461,0.9609375
31,0.35495728,0.9583333333333334
32,0.18321262,0.9713541666666666
33,0.1869666,0.9557291666666666
34,0.6038515,0.9713541666666666
35,0.2275263,0.9713541666666666
36,0.11562198,0.9791666666666666
37,0.83708453,0.9791666666666666
38,0.009595112,0.9817708333333334
39,0.0046075927,0.9765625
40,0.16627948,0.9791666666666666
41,0.038930375,0.9739583333333334
42,0.011655811,0.9791666666666666
43,0.38216883,0.9791666666666666
44,0.0042925347,0.9817708333333334
45,0.029078133,0.9895833333333334
46,0.036141027,0.9921875
47,0.042332206,0.9895833333333334
48,0.03666274,0.9817708333333334
49,0.05837997,0.9921875
50,0.2679556,0.9895833333333334
51,0.031191196,0.9895833333333334
52,0.07344215,0.9921875
53,0.015289048,0.9869791666666666
54,0.20434363,0.9791666666666666
55,0.004895693,0.9765625
56,0.0048216786,0.984375
57,0.0061614458,0.9791666666666666
58,0.20550402,0.9947916666666666
59,0.00076787476,0.9895833333333334
60,0.013691428,0.9895833333333334
61,0.071085945,0.9921875
62,0.0020326846,0.9921875
63,0.011417424,0.9921875
64,0.014433121,0.9947916666666666
65,0.013622103,0.9739583333333334
66,0.00050981675,0.9947916666666666
67,0.014191727,0.9921875
68,0.0012275119,0.9921875
69,0.0026650147,0.9921875
70,0.047601484,0.9947916666666666
71,0.012961368,0.9895833333333334
72,0.004690123,0.9947916666666666
73,0.0105222035,0.9921875
74,0.017171083,0.9947916666666666
75,0.0033093635,0.9895833333333334
76,0.02451877,0.9947916666666666
77,0.0002417696,0.9947916666666666
78,0.00092953263,0.9921875
79,0.0004357653,0.9947916666666666
80,0.0009889748,0.9895833333333334
81,0.0049143913,0.9921875
82,0.0005059699,0.9947916666666666
83,0.020158682,0.9921875
84,0.0042387876,0.9921875
85,0.012546127,0.9947916666666666
86,0.001248088,0.9947916666666666
87,0.00901232,0.9947916666666666
88,0.015711024,0.9947916666666666
89,0.00878543,0.9947916666666666
90,0.0004660042,0.9947916666666666
91,0.0004974742,0.9947916666666666
92,0.019051278,0.9947916666666666
93,0.020027904,0.9947916666666666
94,5.4237196e-05,0.9947916666666666
95,0.014406429,0.9921875
96,0.006455149,0.9921875
97,0.0021636158,0.9947916666666666
98,0.003197679,0.9947916666666666
99,0.050410412,0.9947916666666666
100,0.004250635,0.9947916666666666
101,0.0059670527,0.9947916666666666
102,0.002058815,0.9947916666666666
103,0.755833,0.9947916666666666
104,0.0015350658,0.9921875
105,0.008701278,0.9921875
106,0.019748434,0.9947916666666666
107,0.005796023,0.9947916666666666
108,3.983144e-05,0.9947916666666666
109,0.0010658274,0.9947916666666666
110,0.0014523002,0.9947916666666666
111,0.009183427,0.9947916666666666
112,0.0098004425,0.9947916666666666
113,0.0009054408,0.9947916666666666
114,0.00049819844,0.9947916666666666
115,0.003056764,0.9947916666666666
116,2.0100988e-06,0.9947916666666666
117,0.0012174073,0.9947916666666666
118,0.00029427517,0.9947916666666666
119,0.0058193645,0.9947916666666666
120,0.0021610593,0.9921875
121,0.00010843943,0.9947916666666666
122,0.013714337,0.9947916666666666
123,0.0030941528,0.9921875
124,8.115145e-05,0.9947916666666666
125,0.0006408643,0.9947916666666666
126,0.005376026,0.9921875
127,0.0026287558,0.9947916666666666
128,0.0004618277,0.9947916666666666
129,0.00025109042,0.9947916666666666
130,4.2811125e-06,0.9947916666666666
131,0.00016591059,0.9947916666666666
132,0.0008440283,0.9947916666666666
133,0.0021769404,0.9947916666666666
134,0.00069429335,0.9947916666666666
135,2.352344e-05,0.9921875
136,0.00019348013,0.9947916666666666
137,0.00019130744,0.9947916666666666
138,0.0042739413,0.9921875
139,0.0038635687,0.9947916666666666
140,0.0006110134,0.9947916666666666
141,0.91758007,0.9947916666666666
142,0.9752398,0.9947916666666666
143,0.0023150798,0.9921875
144,0.004727856,0.9947916666666666
145,0.026223771,0.9921875
