episodic_return,episode_length,total_steps
-20,20,6824
11,1,6825
-20,20,6845
-19,20,6865
-20,20,6885
-20,20,6905
-19,20,6925
11,1,6926
-18,20,6946
-19,20,6966
-18,20,6986
-19,20,7006
-16,20,7026
11,1,7027
-19,20,7047
-16,20,7067
11,3,7070
-19,20,7090
11,1,7091
-17,20,7111
-20,20,7131
10,3,7134
-20,20,7154
11,1,7155
11,1,7156
11,1,7157
-19,20,7177
11,3,7180
-19,20,7200
-20,20,7220
-20,20,7240
-17,20,7260
-16,20,7280
11,1,7281
-20,20,7301
11,1,7302
-20,20,7322
-19,20,7342
-20,20,7362
-20,20,7382
-18,20,7402
-19,20,7422
-20,20,7442
11,1,7443
-20,20,7463
10,3,7466
-19,20,7486
-20,20,7506
9,5,7511
-18,20,7531
-20,20,7551
-18,20,7571
-18,20,7591
-19,20,7611
9,3,7614
-20,20,7634
11,3,7637
-14,20,7657
-19,20,7677
11,1,7678
11,1,7679
11,1,7680
-19,20,7700
9,3,7703
-17,20,7723
-20,20,7743
-19,20,7763
-20,20,7783
10,3,7786
-17,20,7806
-17,20,7826
-17,20,7846
-20,20,7866
-20,20,7886
-15,20,7906
-19,20,7926
11,1,7927
-14,20,7947
11,1,7948
11,1,7949
-20,20,7969
-19,20,7989
-20,20,8009
-19,20,8029
-19,20,8049
-17,20,8069
-16,20,8089
11,1,8090
11,1,8091
-19,20,8111
-18,20,8131
11,1,8132
9,3,8135
-19,20,8155
-20,20,8175
11,1,8176
-20,20,8196
-20,20,8216
-19,20,8236
-19,20,8256
-20,20,8276
-18,20,8296
-20,20,8316
-18,20,8336
-17,20,8356
-20,20,8376
11,1,8377
-17,20,8397
-19,20,8417
11,1,8418
-19,20,8438
-20,20,8458
-20,20,8478
-20,20,8498
11,1,8499
-20,20,8519
-19,20,8539
-20,20,8559
-20,20,8579
-20,20,8599
10,3,8602
-20,20,8622
-19,20,8642
-19,20,8662
11,1,8663
-20,20,8683
-19,20,8703
-20,20,8723
-18,20,8743
-20,20,8763
-20,20,8783
9,3,8786
-18,20,8806
-20,20,8826
-19,20,8846
-20,20,8866
-20,20,8886
-20,20,8906
-20,20,8926
11,1,8927
9,3,8930
-19,20,8950
11,1,8951
-18,20,8971
10,3,8974
-20,20,8994
-17,20,9014
-19,20,9034
-19,20,9054
10,3,9057
-17,20,9077
11,1,9078
10,3,9081
-17,20,9101
-16,20,9121
-20,20,9141
-19,20,9161
11,1,9162
11,1,9163
-19,20,9183
-20,20,9203
-20,20,9223
11,1,9224
11,1,9225
-19,20,9245
-18,20,9265
-19,20,9285
-19,20,9305
9,3,9308
-18,20,9328
-18,20,9348
-20,20,9368
-20,20,9388
11,1,9389
11,1,9390
-18,20,9410
-14,20,9430
-20,20,9450
-20,20,9470
-15,20,9490
-17,20,9510
10,3,9513
-16,20,9533
-19,20,9553
-20,20,9573
-20,20,9593
-17,20,9613
-20,20,9633
-20,20,9653
-20,20,9673
-19,20,9693
-17,20,9713
11,1,9714
-19,20,9734
-20,20,9754
-20,20,9774
11,1,9775
-20,20,9795
-20,20,9815
11,1,9816
-20,20,9836
-16,20,9856
11,1,9857
-20,20,9877
-19,20,9897
-18,20,9917
11,1,9918
-18,20,9938
-18,20,9958
-18,20,9978
-20,20,9998
-20,20,10018
-20,20,10038
7,7,10045
11,1,10046
10,4,10050
-18,20,10070
-20,20,10090
3,10,10100
11,1,10101
-20,20,10121
-17,20,10141
-18,20,10161
11,1,10162
-17,20,10182
-20,20,10202
-20,20,10222
11,1,10223
-19,20,10243
-20,20,10263
-18,20,10283
-20,20,10303
-19,20,10323
-18,20,10343
-20,20,10363
-16,20,10383
-20,20,10403
